gene	module
CSF1R	turquoise
AL078459.1	salmon
AC015849.1	cyan
AF165147.1	blue
SIRPB2	turquoise
LINC01220	turquoise
ST3GAL6	turquoise
SREBF2-AS1	blue
CHST2	turquoise
LRRC25	turquoise
LGALS2	turquoise
MYOF	turquoise
LIX1-AS1	pink
CMKLR1	turquoise
AC022075.1	blue
GNLY	cyan
DOK3	turquoise
CRTAM	blue
GPBAR1	turquoise
PID1	turquoise
KMO	turquoise
C19orf38	turquoise
MEFV	turquoise
CES1	turquoise
BCL7A	green
OLR1	turquoise
MEF2C-AS2	green
AL138720.1	turquoise
PYGL	turquoise
AC090559.1	turquoise
KCNE1	turquoise
LTBR	turquoise
HNMT	turquoise
DOCK4	turquoise
VDR	turquoise
SPNS3	turquoise
TLE1	salmon
TOGARAM2	cyan
SASH1	turquoise
SLC8A1-AS1	turquoise
CD33	turquoise
AC079305.3	blue
AC080112.4	turquoise
DUSP3	green
NFE2	turquoise
SLC31A2	turquoise
NUP210L	pink
SH3RF1	turquoise
PLA2G4A	green
SIGLEC10	turquoise
PPP2R2B	blue
PTAFR	turquoise
TMEM176A	turquoise
MGST1	turquoise
IGLC2	yellow
PPP1R14B	red
S100Z	turquoise
CSF3R	turquoise
PTGS2	turquoise
PLEKHF1	yellow
CSF2RB	green
CD1D	turquoise
IRAK3	turquoise
HIST1H2BN	pink
AL355075.4	turquoise
AC009041.2	blue
ASGR1	turquoise
HMOX1	turquoise
AL034397.3	turquoise
DGKG	turquoise
CREB5	turquoise
NRGN	turquoise
AC012447.1	turquoise
CXCR3	blue
C3AR1	turquoise
C5AR1	turquoise
C12orf75	grey60
CDK14	turquoise
AC015912.3	turquoise
MATK	cyan
SH3RF3	greenyellow
CD163	turquoise
SLC11A1	turquoise
CD300LB	turquoise
TNFAIP2	turquoise
WDFY4	turquoise
ADGRE3	turquoise
NLRP3	turquoise
PFKFB4	turquoise
PTP4A3	blue
GZMA	cyan
TCF7L2	turquoise
LILRA1	turquoise
GAPT	turquoise
SLC9A7	turquoise
SORT1	turquoise
CX3CR1	turquoise
TRPM2	turquoise
HLA-DQA2	turquoise
CCR2	turquoise
CCL4L2	turquoise
LPCAT2	turquoise
SECTM1	turquoise
SLC1A4	red
ADAMTS6	blue
ARHGAP24	lightcyan
ADGRE2	turquoise
NEURL1	turquoise
KCNE3	turquoise
CBFA2T3	lightcyan
PZP	blue
SH2D2A	blue
PON2	black
CNTLN	turquoise
APOBEC3A	turquoise
SIGLEC5	turquoise
RAB32	turquoise
EPB41L3	turquoise
PIP5K1B	green
CLEC7A	turquoise
SETBP1	turquoise
AC096667.1	turquoise
Z99127.4	pink
RASGRP4	green
CCL4	turquoise
ABCA2	blue
SWAP70	turquoise
HBEGF	turquoise
ZNF804A	turquoise
PTMS	turquoise
SPATS2L	green
CD300LF	turquoise
MEF2C-AS1	lightcyan
CFD	turquoise
AL031727.2	yellow
KLRK1	blue
CYB561A3	green
NET1	blue
ZNF385A	turquoise
SDCBP2	blue
SLC19A1	turquoise
IL1B	turquoise
ARHGEF11	turquoise
UGCG	magenta
AC005237.1	blue
CLEC12A	turquoise
SCO2	turquoise
TLR2	turquoise
LILRA5	turquoise
AL360012.1	turquoise
RNASE6	turquoise
SPOCK1	turquoise
CD72	turquoise
AK5	blue
IL7	green
LILRB3	turquoise
CTSW	blue
FAM153A	blue
CLMN	turquoise
ANKRD55	yellow
PALM2-AKAP2	red
AC022146.2	black
FUT7	red
PTCH2	turquoise
NFAM1	turquoise
PIK3R6	turquoise
IRF5	green
NAALADL2	greenyellow
NPL	turquoise
NKG7	cyan
LILRB2	turquoise
AC020656.1	turquoise
PRR5L	cyan
CSF2RA	turquoise
PLD1	turquoise
LRP1	turquoise
OSCAR	turquoise
AL021155.5	turquoise
CYSLTR2	turquoise
KDM2B-DT	blue
SMARCD3	turquoise
FMN1	turquoise
TRIB1	turquoise
LEF1-AS1	yellow
ALDH3B1	turquoise
ADTRP	blue
IL18R1	blue
PLXNB2	turquoise
CXCL8	turquoise
CDCA7L	tan
SLAMF7	red
IL15	purple
LILRB4	turquoise
TIGIT	blue
C6orf99	yellow
ARHGEF40	turquoise
SUSD4	blue
ABCA1	turquoise
ZNF467	turquoise
ADAMTSL4	turquoise
OAF	turquoise
CENPM	blue
SIGLEC7	turquoise
TRIQK	turquoise
AL109930.1	blue
TFEC	turquoise
FPR1	turquoise
TGFBI	turquoise
SMIM30	red
LILRA2	turquoise
ITSN1	turquoise
ARIH2OS	blue
RALGPS2	salmon
AL592429.2	green
MYBL1	blue
RTKN2	blue
CD300C	turquoise
SOGA1	green
LRRK2	turquoise
FGD4	turquoise
LINC00877	turquoise
SLC8A1	turquoise
IGKC	pink
RXRA	turquoise
PLAUR	turquoise
ADAP2	turquoise
TMEM170B	turquoise
ST8SIA1	blue
AL365272.1	salmon
PKIG	pink
TNFRSF4	yellow
U62317.4	turquoise
GEN1	salmon
NOD2	turquoise
MIR646HG	turquoise
AC133550.3	yellow
SAMD3	blue
CALHM6	turquoise
AP1S3	green
SLC2A9	turquoise
CD40LG	blue
SLC22A15	turquoise
AL157871.4	turquoise
STMN1	brown
CAMK1	turquoise
FAM214B	turquoise
CD86	turquoise
FMNL3	brown
BASP1	turquoise
AC002460.2	blue
OSER1-DT	yellow
KIF13A	turquoise
IRF7	turquoise
OPN3	turquoise
ATP1B1	turquoise
MYO6	blue
IL2RA	blue
GNG7	salmon
ODF3B	turquoise
GFOD1	turquoise
RPS6KA4	turquoise
TMEM176B	turquoise
SLFN13	blue
SIPA1L2	turquoise
SRC	turquoise
AC084871.1	turquoise
CCL3L1	turquoise
COLQ	brown
A2M	blue
IGF2BP2	turquoise
CPNE8	turquoise
LATS2	turquoise
DMXL2	turquoise
CD36	turquoise
PMEPA1	blue
SEC11C	brown
LY86	turquoise
CHST15	turquoise
AC072022.2	turquoise
HCK	turquoise
GZMM	blue
RGS18	turquoise
RRAS	turquoise
CXorf21	green
OSBPL1A	turquoise
MAP3K20	turquoise
MOB1B	green
MCOLN2	cyan
CORO1C	lightcyan
NR6A1	turquoise
IER3	turquoise
TNS3	turquoise
RASSF4	turquoise
ZBTB16	cyan
S100A12	turquoise
TTYH3	turquoise
SIRPB1	turquoise
AQP3	blue
CPM	turquoise
MGST2	green
PEA15	purple
NEK3	turquoise
LMO2	turquoise
ITGAM	turquoise
ATP13A2	brown
CHODL	blue
CIITA	turquoise
LRMDA	turquoise
AC092164.1	turquoise
LRRN3	greenyellow
CLEC4A	turquoise
SIGLEC9	turquoise
CEP126	brown
HS3ST3B1	black
YES1	blue
TTC28	blue
TAGLN	turquoise
GCNT4	blue
HVCN1	green
PRAM1	turquoise
MYO1E	lightcyan
UGGT2	turquoise
GAB1	turquoise
ABCB1	blue
DOCK5	turquoise
ETS2	turquoise
EMP1	turquoise
JAM3	midnightblue
KLRB1	blue
SLC2A6	turquoise
UCK2	red
PILRA	turquoise
P2RX1	turquoise
SCIMP	turquoise
SLC43A2	turquoise
TMIGD2	blue
EGLN3	blue
MOB3B	turquoise
RAB3D	turquoise
CD68	turquoise
SCRN1	green
AC005224.2	black
PPARGC1B	turquoise
PLOD1	turquoise
COL6A2	yellow
CEBPA	turquoise
MS4A6A	turquoise
CSRNP2	brown
DRAIC	turquoise
AFF3	green
SLA2	black
DAPK1	turquoise
FCGR2A	turquoise
BST1	turquoise
SIAH2-AS1	pink
DNAH17	turquoise
CXXC5	salmon
CDC42BPB	turquoise
SLC7A7	turquoise
MARCKS	turquoise
SYTL2	blue
RNF144B	turquoise
CHRM3-AS2	blue
LRRK1	lightcyan
YPEL1	salmon
AC009226.1	turquoise
IDH3A	turquoise
GNA15	turquoise
ZDHHC14	green
CD14	turquoise
CCL3	turquoise
CRIP2	blue
CPVL	turquoise
AC006460.2	blue
PLBD1	turquoise
ATP8B4	turquoise
STX11	turquoise
E2F5	salmon
FGD6	turquoise
RAB31	turquoise
CD93	turquoise
POLD3	turquoise
KCTD12	turquoise
ALDH2	turquoise
AC133644.2	blue
DOK6	blue
CFP	turquoise
CR1	turquoise
TGFBR3	blue
ADAMTS10	blue
HIST1H2BD	yellow
VPS37C	turquoise
LONRF3	turquoise
AC013652.1	turquoise
ITGAX	turquoise
IL3RA	turquoise
NHSL1	turquoise
ZNF618	turquoise
SPAG5-AS1	turquoise
AC012368.1	turquoise
MPEG1	green
SERPINB8	green
IL18	turquoise
SLC15A3	turquoise
KIF21A	blue
RGS3	cyan
ATF5	turquoise
NLN	turquoise
SBK1	blue
KYNU	turquoise
AL136456.1	cyan
RBM47	turquoise
EMILIN2	turquoise
ST6GALNAC3	turquoise
GOLIM4	green
DDN-AS1	turquoise
CD38	salmon
MXD3	turquoise
FTCDNL1	green
MICU3	blue
AC010275.1	blue
MCTP2	brown
PDIA4	red
AC139720.1	blue
RNF122	green
SMCO4	turquoise
PEX11G	turquoise
IMPA2	green
IFIT2	turquoise
EDA	blue
CARD9	turquoise
SESTD1	turquoise
MAFG	turquoise
KIAA1324	blue
UBR5-AS1	turquoise
ZBP1	grey60
AL353660.1	blue
SEMA4A	turquoise
PTCH1	yellow
SUGCT	blue
GRAMD1B	turquoise
TBC1D8	turquoise
TNFSF13	turquoise
SLC16A10	blue
LINC00402	blue
SDK2	greenyellow
MPST	turquoise
AC093865.1	yellow
PLXDC2	turquoise
APP	green
CMTM8	blue
IER5L	turquoise
L3MBTL4	turquoise
ENTPD1	turquoise
DUSP6	turquoise
ALOX5	turquoise
NCAPG2	blue
TEX2	turquoise
NCMAP-DT	blue
PHYH	yellow
VCAN	turquoise
MIAT	blue
FRMD4B	lightcyan
HSBP1L1	yellow
MGLL	turquoise
IGSF6	turquoise
FGL2	turquoise
MCTP1	turquoise
GRK3	turquoise
VAV2	turquoise
LINC01550	blue
SAMD4A	turquoise
TSPAN18	blue
TESC	turquoise
EPDR1	turquoise
FGD2	lightcyan
PLEKHG3	blue
OSBPL5	turquoise
AL162493.1	blue
LINC01725	greenyellow
NIPAL2	turquoise
HIP1R	brown
ROGDI	turquoise
OPHN1	turquoise
NAGA	green
C12orf45	turquoise
GPR137	yellow
PHACTR1	turquoise
SPI1	turquoise
HLA-DMB	turquoise
BTK	lightcyan
APBA2	blue
RNF157	blue
FAM110A	turquoise
FKBP11	blue
KLF5	blue
LAT2	turquoise
HK2	turquoise
FBP1	turquoise
SLC36A1	turquoise
ICAM1	turquoise
MARCH1	turquoise
TBC1D9	lightcyan
DST	turquoise
KLF4	turquoise
CASC19	blue
LILRB1	turquoise
GLCE	green
ZFHX3	turquoise
HIST1H2BC	pink
SPRED2	turquoise
UBASH3A	blue
HAPLN3	blue
AL589693.1	blue
NPDC1	blue
RNF144A	blue
HHEX	turquoise
GPAT3	turquoise
HIST2H2AC	pink
TRABD2A	blue
EPHX2	blue
AC006369.1	blue
CDKN1A	turquoise
NELL2	blue
FAAH2	blue
SULF2	turquoise
AC093010.2	yellow
AKAP6	magenta
TBC1D12	lightcyan
ICOS	blue
C11orf80	salmon
LINC01871	yellow
KIF5C	blue
ADAP1	turquoise
ADAM9	turquoise
GAA	turquoise
IKZF2	blue
AC015871.1	turquoise
AC097634.3	midnightblue
ABHD6	green
NBPF26	turquoise
NAV1	turquoise
LYL1	turquoise
RALB	turquoise
BTLA	salmon
FABP5	red
PGAP1	blue
DLEU7	blue
PRKAG2-AS1	turquoise
TNFRSF10D	blue
MPP1	turquoise
PLSCR1	turquoise
CYBB	lightcyan
HLA-DQA1	turquoise
OSM	turquoise
CEP19	blue
CPPED1	turquoise
HAVCR2	turquoise
AC137810.1	blue
ADRB2	turquoise
CCDC141	blue
SH2D1A	yellow
TSPOAP1	cyan
ZNF532	turquoise
KIAA0513	turquoise
GAS7	turquoise
ABI3	turquoise
APBB3	blue
STX3	green
ANO9	blue
HIGD1A	turquoise
MAFK	turquoise
CTSZ	turquoise
SNX18	green
AC067945.4	blue
MSRB1	turquoise
ADAMTS17	blue
AC010260.1	blue
ZFYVE9	blue
TRAT1	blue
TENM1	blue
ATP6V0A1	lightcyan
RADX	blue
CCR7	blue
LINC01891	blue
AC119673.2	brown
TPRG1	turquoise
ADAM15	turquoise
FAM49A	turquoise
SKAP1-AS1	blue
CTIF	turquoise
GMPPB	pink
AC068051.1	blue
PLAGL2	turquoise
WEE2-AS1	yellow
DISC1FP1	blue
PLA2G4B	blue
SLC16A6	turquoise
AC010609.1	blue
NHSL2	turquoise
AUTS2	pink
EVI5	turquoise
SPECC1	turquoise
VASH1	green
CNKSR2	blue
COA6-AS1	yellow
AC090772.1	blue
GNB4	turquoise
AC020911.2	yellow
RUNX2	blue
ERICH6-AS1	pink
STRBP	black
SLC43A3	turquoise
KCNQ5	brown
BCL2A1	turquoise
AL133415.1	turquoise
FAM174B	turquoise
IL4I1	pink
GSN	turquoise
PARP15	brown
MEF2C	lightcyan
MLKL	turquoise
CEP78	cyan
EPS8	turquoise
ADCY3	magenta
KLRG1	yellow
NFIL3	turquoise
SERPINA1	turquoise
HDAC9	lightcyan
FES	turquoise
GATA3	blue
AC078883.1	blue
TJP2	turquoise
NCF2	turquoise
LYRM1	blue
GRIP1	greenyellow
HHAT	black
IFNG-AS1	grey60
GIPC1	yellow
PPIF	turquoise
RBBP8	turquoise
OAS1	turquoise
THRA1/BTR	blue
PYHIN1	blue
ZNF540	blue
PAFAH2	yellow
CYFIP1	turquoise
PRKCA-AS1	blue
VILL	brown
SDF2L1	pink
ZAP70	blue
SUSD1	turquoise
TBXAS1	turquoise
MAL	blue
AL627171.2	yellow
PKIA-AS1	blue
CCL28	brown
MTSS1	turquoise
LST1	turquoise
CD28	blue
GCNT2	turquoise
FOSL1	turquoise
ZFYVE28	blue
NINJ1	turquoise
PLAG1	greenyellow
DPP4	blue
ZNF595	green
GPR171	blue
ALOX5AP	brown
NEO1	blue
NEK6	lightcyan
PLAGL1	turquoise
PITPNM2	blue
DUSP5	red
GK	turquoise
NBPF10	turquoise
DGKH	blue
CALHM2	turquoise
FCHO2	turquoise
INSR	turquoise
SULT1A1	purple
BRCA2	red
AC244131.2	magenta
PIK3AP1	turquoise
RAB30	tan
TIMP2	turquoise
NIF3L1	yellow
FOXP1-AS1	blue
SH3D19	midnightblue
MIR222HG	turquoise
FAM43A	pink
IFI30	turquoise
TRIM52-AS1	brown
AL359220.1	yellow
EIF3J-DT	yellow
HOXB-AS1	black
C3orf62	turquoise
KANK1	blue
PTPN12	turquoise
SLC1A5	turquoise
SYK	lightcyan
LINC00649	blue
GAB2	turquoise
FGR	turquoise
AC011511.2	turquoise
RAB24	turquoise
WARS	turquoise
APOBR	turquoise
AC233976.1	blue
FBXO6	green
ZNF496	magenta
SIRPG	blue
HLA-DQB1	lightcyan
FLNB	greenyellow
DHRS3	blue
AC239799.2	turquoise
ITGA6	blue
EEPD1	turquoise
MYO1D	brown
METRNL	turquoise
CCL5	yellow
MINDY1	turquoise
SLC14A1	brown
HIST1H1E	yellow
KIAA0930	turquoise
BEX3	blue
LINC00243	blue
SNX8	turquoise
CDC42-AS1	yellow
PAOX	turquoise
LAX1	grey60
LGALS9	turquoise
USP6NL	turquoise
SDHAF3	blue
ARID3A	turquoise
AC007952.4	turquoise
STOM	blue
C4orf19	brown
CLIC4	lightcyan
ZC3H12D	blue
APBB1	brown
AC016074.2	blue
GK5	turquoise
AC114763.1	green
CCDC200	turquoise
GCA	green
CEBPD	turquoise
COQ2	turquoise
TBCCD1	yellow
MAGEF1	red
TNFSF13B	turquoise
DIP2C	blue
TICAM1	purple
PLPP5	salmon
PTPRM	blue
HSPA1A	turquoise
S1PR1	brown
PLCG1	blue
AP003086.1	turquoise
TOX	blue
SLC49A4	turquoise
FXYD7	blue
IRAK2	turquoise
SLC22A23	greenyellow
ACSS2	turquoise
CSTA	turquoise
BCS1L	tan
CTBP2	turquoise
APMAP	red
NUDT16	turquoise
CDHR3	blue
NBEA	pink
CALML4	green
TTC39B	blue
OTUD7B	yellow
VEGFB	brown
AC012358.3	turquoise
MCOLN1	turquoise
RGL4	blue
GLUL	turquoise
ACSL1	turquoise
AL390774.2	purple
WWC2	turquoise
SIT1	brown
WHRN	blue
CD27	blue
TAFA1	blue
TEPSIN	pink
LINC01215	black
SPATA6	turquoise
BCAR3	salmon
UBXN11	turquoise
MANF	pink
FAM169A	blue
MORN3	blue
TSPAN4	turquoise
AC104123.1	turquoise
RTN4IP1	magenta
GP6	yellow
CDH23	turquoise
STK11IP	turquoise
HNRNPLL	blue
IL23A	yellow
MICAL2	turquoise
NLRC3	brown
TBC1D2	turquoise
AC009313.1	turquoise
EVA1B	turquoise
C20orf27	turquoise
PDZD2	greenyellow
SPEF2	blue
RASGRF2	blue
PDE7B	turquoise
FCN1	turquoise
AC018682.1	turquoise
RRAS2	brown
PLEKHO2	turquoise
AC097713.1	yellow
LRIG1	blue
CRIM1	yellow
ADAM19	salmon
AC107223.1	blue
HDX	turquoise
CATSPERB	blue
AP002381.2	turquoise
CCDC88A	turquoise
IL11RA	blue
PRDM1	grey60
CROCC	yellow
TMEM220	greenyellow
TMCC3	turquoise
DCK	magenta
TNF	yellow
OBSCN	blue
PAK1	turquoise
TMED8	lightgreen
SLAMF6	brown
HOTAIRM1	turquoise
PRR5	blue
METTL7A	turquoise
CLN8	turquoise
B3GNT5	turquoise
ZNF821	yellow
GNAL	pink
GRAP	blue
KAZN	blue
AC009505.1	blue
LLGL2	cyan
JAKMIP2	black
MED7	brown
MEGF6	blue
HYOU1	pink
TRIO	turquoise
SPIRE1	turquoise
PCAT1	blue
CLECL1	salmon
AL365361.1	blue
CD82	blue
AL589990.1	blue
KCNK6	turquoise
HULC	brown
GDPD5	blue
ALCAM	salmon
BICDL1	blue
RIC3	blue
MIR22HG	turquoise
CD3G	blue
DDAH2	turquoise
DHTKD1	red
CD5	blue
TPD52	grey60
HIST1H2AC	turquoise
GLYCTK	brown
C12orf42	brown
TTYH2	turquoise
FHL3	purple
PLAAT3	red
NCEH1	purple
PPM1F	turquoise
PXYLP1	blue
AP000763.3	turquoise
TMTC2	turquoise
MTFP1	brown
LINC00426	blue
NBPF14	turquoise
HECW2	blue
TK2	turquoise
MNDA	turquoise
HLA-DRB5	lightcyan
STT3A	red
SLAMF1	blue
C15orf39	turquoise
PTK2	green
AC018754.1	blue
PGD	turquoise
FUZ	yellow
PECAM1	turquoise
NME1	red
HABP4	blue
SLC27A1	turquoise
PBX4	blue
HSD17B8	tan
RCBTB2	purple
TNFRSF25	blue
HSPA1B	turquoise
GRAP2	blue
PHLPP2	magenta
SYNJ2	blue
ZBTB20-AS5	greenyellow
MAF	blue
CKAP4	turquoise
RELT	turquoise
SEPHS1	yellow
CD300A	green
RP2	turquoise
TLR1	turquoise
NIPSNAP3A	turquoise
PPM1L	turquoise
ABHD8	brown
SLC2A1	red
TIMP1	purple
MVB12B	green
AL136962.1	blue
PLEKHA5	blue
SYNGAP1	blue
RFX2	turquoise
RNF43	brown
ZC2HC1A	turquoise
ENO2	yellow
AGFG2	blue
GCHFR	blue
FBXO32	brown
CD7	blue
NEDD4L	green
AL450992.2	blue
CRELD2	pink
AKTIP	blue
NCALD	blue
MEI1	grey60
AC244197.2	pink
ABCD2	blue
NACC2	turquoise
AC087500.1	turquoise
PIP4P2	turquoise
TSEN54	blue
GRN	lightcyan
AGTRAP	turquoise
UNC93B1	lightcyan
SWSAP1	turquoise
ABHD5	green
PLEKHG2	turquoise
MMP25-AS1	blue
PIK3C2B	brown
MAPK8IP1	blue
CLIP2	turquoise
PHF7	brown
DPYSL2	turquoise
C21orf58	pink
CNP	red
BRI3BP	turquoise
HLA-DMA	turquoise
ITPR3	brown
ASAH1	turquoise
LEF1	blue
LYN	lightcyan
ARHGAP32	green
LINC02245	turquoise
SNX10	turquoise
CSKMT	yellow
FAM153CP	blue
EPB41L5	brown
SC5D	blue
CREG1	turquoise
EPHA1-AS1	blue
CD226	blue
SEL1L3	salmon
BCL6	turquoise
RIPK2	turquoise
TMEM204	blue
AL512603.2	turquoise
TRPC1	blue
TSHZ2	blue
DOCK3	brown
MAST4	blue
SNN	turquoise
AP000779.1	blue
DNMBP	turquoise
AC124016.1	yellow
KLHL25	blue
LDLRAP1	blue
SEC14L2	blue
CD83	turquoise
TIFA	grey60
ERLIN1	turquoise
TRAF1	blue
VAMP1	pink
FCGRT	turquoise
RNF135	turquoise
AL450998.2	turquoise
STAMBPL1	black
TSPAN5	brown
ESR1	blue
HIPK1-AS1	yellow
FKBP2	red
TRAM2	brown
AMPD2	turquoise
NAIP	turquoise
CD2AP	brown
P2RY10	blue
TMEM19	salmon
MAN1C1	blue
NCF4	turquoise
STK3	turquoise
LINC01135	brown
RHOB	turquoise
BTN2A2	turquoise
TNFAIP8L2	purple
BATF	blue
CHML	lightcyan
EPHA4	blue
AC009126.1	blue
PDK1	blue
HELLS	pink
ITM2A	blue
ZCWPW2	turquoise
TUBA1C	turquoise
ZNF275	blue
AL359232.1	blue
SLC41A1	blue
AC253572.2	turquoise
SAMD12	greenyellow
ATF3	turquoise
THEMIS	blue
DOCK9	blue
AC104806.2	blue
CLSTN3	yellow
P2RX7	turquoise
TMEM268	turquoise
NPRL2	blue
TYMP	turquoise
HIST3H2A	grey60
AC008555.4	blue
MCRIP2	turquoise
SBNO1-AS1	brown
SLAIN1	blue
BCAS4	greenyellow
MFSD1	turquoise
SCARB2	turquoise
ID1	turquoise
LINC01943	cyan
GIMAP6	blue
BLVRA	turquoise
LINC00861	blue
TENT5A	turquoise
KSR1	purple
ZSWIM5	blue
FBF1	brown
TRIT1	turquoise
LINC02591	blue
KIF18A	turquoise
PRKCQ-AS1	blue
GBP5	blue
ULK2	turquoise
DRAM1	turquoise
LETM2	yellow
MPP6	black
GPX7	tan
AL049779.4	midnightblue
USP28	salmon
CAPRIN2	brown
CYP4V2	brown
SHB	turquoise
CD6	blue
DUSP23	turquoise
DNAJB4	black
AC073332.1	yellow
CST3	turquoise
CLCN6	turquoise
RCAN3AS	blue
GALNT3	turquoise
RGL1	turquoise
MRPL36	red
TRIB2	blue
AL117381.1	greenyellow
ZNF626	brown
MEGF9	turquoise
SLFN12L	blue
KNTC1	pink
AGBL3	brown
AC078845.1	blue
AC008083.3	yellow
CENPK	brown
RETREG1	blue
ZNF831	blue
PLXND1	turquoise
CBR3	blue
PTRHD1	red
ZNF507	brown
SLC39A6	midnightblue
SULT1B1	blue
THRA	yellow
DENND3	turquoise
CCDC28B	black
ACSF2	green
PLEKHA1	blue
